model_name,RMSE_mean,RMSE_std,r_square_mean,r_square_std
catboost,0.12435696959059253,0.01702729639646014,0.9008173573299244,0.0279708708196528
lightGBM,0.13481869761465534,0.016647072415702145,0.8842162449738351,0.02748793632967162
XGBoost,0.13862646436179632,0.018425856182794617,0.8768697190800288,0.03417316688194547
Ridge (L2),0.15718812350949868,0.042412231914436216,0.8306185510559608,0.10520785849282455
ElasticNet,0.177137370363381,0.052049234557630504,0.7836553882962937,0.14659931892054087
random_forest,0.1843369209460251,0.009160744061796632,0.7854399068691965,0.019545306346822024
Lasso (L1),0.19687916276884643,0.05168915824427341,0.7373231103754379,0.15888823779238004
decision_tree,0.2018604567177837,0.01624557274058425,0.7413265561729873,0.045110669483992595
KNN,0.21934866992005633,0.014809482607042922,0.6962604214210856,0.035511521762527955
dummy_regressor,0.39971296416800184,0.018484026253676372,-0.004797350031530678,0.00628350767316245
NeuralNet_rmsprop,0.5987571730557871,0.2375019059675407,-1.7044106766170146,1.8495356200244275
NeuralNet_mae,0.7712552257637921,0.09695454706862493,-2.8808204563000737,1.2398317346558023
NeuralNet_basic,0.8718537938088001,0.06970574253255991,-3.85969956401496,0.9970039299967949
NeuralNet_huber,0.8896087610041551,0.053776194829717544,-4.060876603264859,0.9693925859246195
NeuralNet_combination,0.9100735764941821,0.02115913566095976,-4.263325321075319,0.7274853735390916
NeuralNet_rop,0.9594032341879813,0.082062249023138,-4.89312623752672,1.2091700542002093
NeuralNet_sgd,1.0186021889226518,0.10599702389534275,-5.6986335956161485,1.760114534641808
NeuralNet_cosine,1.0568860673693967,0.036695754692229035,-6.106087528507531,1.0482904315184647
